1558188000,238.49,8948914.96
1558191600,238.66,6895678.74
1558195200,238.87,5891076.76
1558198800,235.56,6990098.18
1558202400,235.31,3610889.52
1558206000,235.81,2171450.14
1558209600,236.02,3511415.29
1558213200,238.81,4417029.2
1558216800,236.39,5971580.38
1558220400,233.6,4836176.94
1558224000,235.12,4381222.08
1558227600,243.59,15519113.55
1558231200,243.94,18802306.9
1558234800,252.75,14112611.18
1558238400,252.95,11029255.76
1558242000,251.33,8820298.82
1558245600,250.46,5400424.58
1558249200,255.45,10225245.64
1558252800,254.5,7500449.27
1558256400,256.55,5784338.74
1558260000,256.65,9934784.22
1558263600,252.3,7587995.34
1558267200,252.99,14020849.06
1558270800,252.23,10878433.45
1558274400,255.22,5401702.02
1558278000,254.71,4412942.47
1558281600,253.21,4938813.13
1558285200,256.17,5917699.85
1558288800,255.52,1887160.01
1558292400,254.14,3611051.77
1558296000,256.47,3793708.07
1558299600,259.4,5284362.44
1558303200,261.42,6690399.11
1558306800,259.51,9195220.88
1558310400,249.43,21099229.59
1558314000,250.08,7702048.36
1558317600,247.57,6381796.59
1558321200,254.05,6322138.7
1558324800,251.21,7016503.47
1558328400,251.94,4095546.03
1558332000,248.41,4154984.19
1558335600,248.45,4461420.87
1558339200,248.87,5940223.92
1558342800,250.19,4888097.7
1558346400,249.77,3375936.23
1558350000,246.89,4492687.69
1558353600,243.03,8938834.01
1558357200,245.08,12321069.93
1558360800,246.64,5366480.05
1558364400,247.92,3991124.67
1558368000,246.38,4050132.55
1558371600,244.1,5182313.29
1558375200,245.1,4743156.23
1558378800,247.3,2881841.77
1558382400,252.96,8834296.88
1558386000,254.81,5615606.21
1558389600,248.67,6327250.35
1558393200,250.37,3840952.94
1558396800,251.67,5903650.51
1558400400,251.42,3572431.5
1558404000,250.66,4353802.79
1558407600,250.04,3566452.76
1558411200,248,3924664.24
1558414800,249.06,3725072.32
1558418400,250.72,2937450.71
1558422000,250.79,4092456.15
1558425600,251.07,3344776.46
1558429200,252.74,5524565.39
1558432800,250.6,4794161.02
1558436400,249.62,5324229.2
1558440000,250.37,4499861.65
1558443600,250.81,12863293.62
1558447200,250.93,6485543.74
1558450800,250.34,5620758.15
1558454400,251.45,6043563.69
1558458000,254.35,6661701.9
1558461600,255.85,6751931.87
1558465200,255.26,4387744.62
1558468800,260.72,10757560.76
1558472400,256.88,10591437.72
1558476000,254.94,8748282.6
1558479600,253.43,4509162.14
1558483200,258.2,4826876.38
1558486800,254.72,6324573.45
1558490400,255.9,3427539.41
1558494000,254.85,2860531.86
1558497600,256.8,5410282.28
1558501200,257.47,3320726.3
1558504800,256.84,3712031.04
1558508400,255.68,2537252.03
1558512000,255.65,3774703.64
1558515600,253.56,5458153.81
1558519200,253.18,6749435.84
1558522800,251.81,9291527.04
1558526400,250.34,4920920.28
1558530000,252.54,4438865.17
1558533600,252.59,3525732.98
1558537200,255.16,8187426.92
1558540800,252.34,4617685.09
1558544400,251.33,7829269.78
1558548000,252.63,3276174.87
1558551600,252.73,2418886.39
1558555200,247.56,17191186.66
1558558800,243.01,9139358.67
1558562400,245.95,10573236.42
1558566000,243.64,7089553.16
1558569600,243.13,7923595.64
1558573200,243.41,3724599.74
1558576800,244.21,2974310.6
1558580400,243.46,8148008.68
1558584000,242.81,3354047.29
1558587600,238.49,10046770.55
1558591200,238.71,9917356.95
1558594800,235.23,4906758
1558598400,234.12,6736734.06
1558602000,236.02,8862672.75
1558605600,238.58,6022088.23
1558609200,235.96,4205316.47
1558612800,238.18,4210915.95
1558616400,240.28,6434127.32
1558620000,242.33,6610987.38
1558623600,241.93,6367166.41
1558627200,242.93,5202281.64
1558630800,240.48,5146571.71
1558634400,239.9,3319460.05
1558638000,241.16,3523924.97
1558641600,243.99,4460242.61
1558645200,244.86,4361276.95
1558648800,244.83,6392696.04
1558652400,244.56,4097254.02
1558656000,245.06,3816357.79
1558659600,244.02,2707402.81
1558663200,243.15,2713429.14
1558666800,244.15,2118408.88
1558670400,243.19,2286992.37
1558674000,242.75,3245692.18
1558677600,245.94,2938235.77
1558681200,246.78,8736981.87
1558684800,249.01,10937751.46
1558688400,249.24,5052700.7
1558692000,249.75,5750041.26
1558695600,251.17,6151396
1558699200,251.09,4996200.18
1558702800,249.44,3725160.97
1558706400,252.22,3495008.76
1558710000,251.68,6284811.29
1558713600,251.82,5420219.81
1558717200,250.71,5309381.8
1558720800,250.59,2789127.01
1558724400,251.48,3894224.26
1558728000,252.7,3238146.71
1558731600,249.82,3089889.86
1558735200,249.69,2481961.72
1558738800,248.87,4804881.92
1558742400,248.2,2614538.56
1558746000,250.81,2719523.56
1558749600,251.13,2557245.82
1558753200,250.63,3289087.45
1558756800,250.77,2248129.44
1558760400,249.24,2442088.49
1558764000,249.26,2459396.67
1558767600,249.73,1846177.42
1558771200,251.4,1959057.84
1558774800,256.26,7166552.04
1558778400,255.22,8126740.58
1558782000,254.3,5196448.68
1558785600,254.76,4156076.1
1558789200,249.48,8940878.81
1558792800,251.14,3569162.04
1558796400,250.93,2959614.6
1558800000,249.89,2934030.9
1558803600,250.22,1708854.36
1558807200,249.46,3150905.71
1558810800,248.86,2352369.74
1558814400,249.41,2261945.08
1558818000,250.34,1661803.08
1558821600,251.58,2034160.28
1558825200,250.22,1476087.86
1558828800,250.96,1556477.86
1558832400,250,806408.49
